U_10,fmc,DF,KBDI,ROS,intensity,flame_h
0.0,10.0,6.0,200.0,22.469555144860784,54.283830661629445,0.47157485211712974
0.0,10.0,8.0,0.0,6.327929548861333,1.450300580480907,0.05234867368434936
0.0,10.0,8.0,20.0,6.327929548861333,1.450300580480907,0.05234867368434936
0.0,10.0,8.0,40.0,7.4559644850389315,1.6492982344171037,0.06646857431446004
0.0,10.0,8.0,60.0,9.49268439849499,2.4082714687092768,0.09755263809094011
0.0,10.0,8.0,80.0,12.104393887149303,4.636105361112662,0.14755985343282535
0.0,10.0,8.0,100.0,15.208881869026932,10.4456367903386,0.22191207311116715
0.0,10.0,8.0,120.0,18.41049382800486,22.568420897999175,0.3170431444058785
0.0,10.0,8.0,140.0,21.070929359794157,40.49511734826834,0.41317968545335376
0.0,10.0,8.0,160.0,22.800409339005657,58.12661667835224,0.48634600637045056
0.0,10.0,8.0,180.0,23.720046750921952,70.22315521952419,0.5296308047040983
0.0,10.0,8.0,200.0,24.12777304258251,76.34613999821556,0.5499867719373999
0.0,10.0,10.0,0.0,6.327929548861333,1.450300580480907,0.05234867368434936
0.0,10.0,10.0,20.0,6.327929548861333,1.450300580480907,0.05234867368434936
0.0,10.0,10.0,40.0,7.775908497766489,1.7295991891880071,0.07088211836758705
0.0,10.0,10.0,60.0,10.535689448275537,3.0875174806830312,0.11616805898482424
0.0,10.0,10.0,80.0,14.167346347943083,7.9938161938953725,0.19511264848537488
0.0,10.0,10.0,100.0,18.18584436377104,21.436176324250688,0.3096912478759428
0.0,10.0,10.0,120.0,21.446253490468322,43.8406720463501,0.4282499428587603
0.0,10.0,10.0,140.0,23.272988311406884,64.06633645970963,0.5081594759490272
0.0,10.0,10.0,160.0,24.048375935547217,75.11327080377472,0.5459617368054327
0.0,10.0,10.0,180.0,24.334857880660454,79.6590732502818,0.5606304504514255
0.0,10.0,10.0,200.0,24.43008781831641,81.23144924293774,0.5655977743959124
0.0,20.0,0.0,0.0,3.1150602870533213,0.10862741408776239,0.02948731875565369
0.0,20.0,0.0,20.0,3.1150602870533213,0.10862741408776239,0.02948731875565369
0.0,20.0,0.0,40.0,3.1150602870533213,0.10862741408776239,0.02948731875565369
0.0,20.0,0.0,60.0,3.1150602870533213,0.10862741408776239,0.02948731875565369
0.0,20.0,0.0,80.0,3.1150602870533213,0.10862741408776239,0.02948731875565369
0.0,20.0,0.0,100.0,3.1150602870533213,0.10862741408776239,0.02948731875565369
0.0,20.0,0.0,120.0,3.1150602870533213,0.10862741408776239,0.02948731875565369
0.0,20.0,0.0,140.0,3.1150602870533213,0.10862741408776239,0.02948731875565369
0.0,20.0,0.0,160.0,3.1150602870533213,0.10862741408776239,0.02948731875565369
0.0,20.0,0.0,180.0,3.1150602870533213,0.10862741408776239,0.02948731875565369
0.0,20.0,0.0,200.0,3.1150602870533213,0.10862741408776239,0.02948731875565369
0.0,20.0,2.0,0.0,3.1150602870533213,0.10862741408776239,0.02948731875565369
0.0,20.0,2.0,20.0,3.1150602870533213,0.10862741408776239,0.02948731875565369
0.0,20.0,2.0,40.0,3.2889240241296394,0.13251032979970107,0.032026317127366234
0.0,20.0,2.0,60.0,3.5512207691454813,0.17582308044683542,0.03604897986822137
0.0,20.0,2.0,80.0,3.8333701391483026,0.23350118168602385,0.04063041965532966
0.0,20.0,2.0,100.0,4.136509944548111,0.3101725943864362,0.045841902785068014
0.0,20.0,2.0,120.0,4.461720265276601,0.4118687997299653,0.05176118973594587
0.0,20.0,2.0,140.0,4.809974863384697,0.5463951007242198,0.058472032987160354
0.0,20.0,2.0,160.0,5.182078095311827,0.7237637102797989,0.0660631120789596
0.0,20.0,2.0,180.0,5.578585039846468,0.9566772223047908,0.07462619629077324
0.0,20.0,2.0,200.0,5.962805136472342,1.2318069188189165,0.08338789651589044
0.0,20.0,4.0,0.0,3.1150602870533213,0.10862741408776239,0.02948731875565369
0.0,20.0,4.0,20.0,3.1150602870533213,0.10862741408776239,0.02948731875565369
0.0,20.0,4.0,40.0,3.4721061087647715,0.16177646271671536,0.034811488603887594
0.0,20.0,4.0,60.0,4.045153722807456,0.28533723204652756,0.044240055435929
0.0,20.0,4.0,80.0,4.7051571453639,0.5028981743163162,0.05641197804333037
0.0,20.0,4.0,100.0,5.459473159767085,0.8815725057969995,0.07200261287704242
0.0,20.0,4.0,120.0,6.3117324458581,1.5294040019324222,0.09173932921915182
0.0,20.0,4.0,140.0,7.258581954483166,2.6099657090425037,0.11629720803645985
0.0,20.0,4.0,160.0,8.28550982481192,4.347836091912651,0.14610439152204258
0.0,20.0,4.0,180.0,9.36288992682745,7.004716336061362,0.18105173073128933
0.0,20.0,4.0,200.0,10.353702235995321,10.430018035624192,0.21671584821447998
0.0,20.0,6.0,0.0,3.1150602870533213,0.10862741408776239,0.02948731875565369
0.0,20.0,6.0,20.0,3.1150602870533213,0.10862741408776239,0.02948731875565369
0.0,20.0,6.0,40.0,3.665015237183699,0.19761431722811246,0.03786524849187535
0.0,20.0,6.0,60.0,4.602383245794316,0.4628102509500108,0.054425674966798746
0.0,20.0,6.0,80.0,5.749136264185891,1.0724106436563274,0.07845916908470436
0.0,20.0,6.0,100.0,7.11389158227867,2.415943866739416,0.11236441170635933
0.0,20.0,6.0,120.0,8.662116996610457,5.167429527963437,0.15788311550486175
0.0,20.0,6.0,140.0,10.287670048072224,10.167258709447363,0.21422860309820713
0.0,20.0,6.0,160.0,11.814106331969958,17.792372695657832,0.27609969414022
0.0,20.0,6.0,180.0,13.063265566778966,27.10480318422757,0.33439285651075723
0.0,20.0,6.0,200.0,13.890076236396359,35.37658267043827,0.37758801675900316
0.0,20.0,8.0,0.0,3.1150602870533213,0.10862741408776239,0.02948731875565369
0.0,20.0,8.0,20.0,3.1150602870533213,0.10862741408776239,0.02948731875565369
0.0,20.0,8.0,40.0,3.86805721146112,0.2414642762917641,0.04121165162879169
0.0,20.0,8.0,60.0,5.227628428208499,0.7481015202289214,0.06702202525055326
0.0,20.0,8.0,80.0,6.971022315517799,2.235247011268118,0.10854506808816847
0.0,20.0,8.0,100.0,9.043360527077219,6.113282308012543,0.17028276697158667
0.0,20.0,8.0,120.0,11.180531886704369,14.20560184135984,0.24927399896786145
0.0,20.0,8.0,140.0,12.956451859370151,26.172205763740152,0.3291001137571593
0.0,20.0,8.0,160.0,14.110931267236722,37.94175681438339,0.38985311223829366
0.0,20.0,8.0,180.0,14.72481663597347,46.016556650236,0.42579425639394886
0.0,20.0,8.0,200.0,14.996986081949087,50.103831395620716,0.4426966512513868
0.0,20.0,10.0,0.0,3.1150602870533213,0.10862741408776239,0.02948731875565369
0.0,20.0,10.0,20.0,3.1150602870533213,0.10862741408776239,0.02948731875565369
0.0,20.0,10.0,40.0,4.0816293711877485,0.2950675557915935,0.044876398356454336
0.0,20.0,10.0,60.0,5.923865370379679,1.2015184681699498,0.0824791730627723
0.0,20.0,10.0,80.0,8.348104539088794,4.476619019393638,0.14803010504765518
0.0,20.0,10.0,100.0,11.03057167695135,13.449794858467069,0.2431694176096881
0.0,20.0,10.0,120.0,13.206991897616966,28.405463189817787,0.34161356685668537
0.0,20.0,10.0,140.0,14.426391809588136,41.9066967145268,0.40796573109850853
0.0,20.0,10.0,160.0,14.943986147738677,49.280854480777265,0.43935449942259674
0.0,20.0,10.0,180.0,15.135221380487419,52.315313034680045,0.4515345342621913
0.0,20.0,10.0,200.0,15.198790200802035,53.36492085134447,0.4556591071568249
